Mapa,Cve_Ent,Nom_Ent,Nom_Abr,Cve_Mun,Nom_Mun,Cve_Loc,Nom_Loc,Ámbito,Latitud,Longitud,Lat_Decimal,Lon_Decimal,Altitud,Cve_Carta,Pob_Total,Pob_Masculina,Pob_Femenina,Total De Viviendas Habitadas
"230010001","23","Quintana Roo","Q. Roo","001","Cozumel","0001","Cozumel","U","20°30´13.623"N","086°57´27.318"W","20.50378400","-86.95758800","0007","F16D61","77236","39113","38123","21537"
"230010021","23","Quintana Roo","Q. Roo","001","Cozumel","0021","Punta Celarain","R","20°16´21.639"N","086°59´17.081"W","20.27267800","-86.98807800","0003","F16D71","0","0","0","0"
"230010022","23","Quintana Roo","Q. Roo","001","Cozumel","0022","Punta Molas","R","20°35´21.246"N","086°43´27.657"W","20.58923500","-86.72434900","0004","F16D61","0","0","0","0"
"230010057","23","Quintana Roo","Q. Roo","001","Cozumel","0057","Las Palmitas","R","20°23´02.668"N","087°01´04.658"W","20.38407400","-87.01796100","0000","F16C79","4","*","*","1"
"230010067","23","Quintana Roo","Q. Roo","001","Cozumel","0067","El Cedral","R","20°22´03.228"N","086°59´33.133"W","20.36756300","-86.99253700","0000","F16D71","15","7","8","9"
"230010115","23","Quintana Roo","Q. Roo","001","Cozumel","0115","Palancar","R","20°21´18.000"N","087°01´26.000"W","20.3550","-87.02388900","0005","F16C79","0","0","0","0"
"230010122","23","Quintana Roo","Q. Roo","001","Cozumel","0122","Punta Morena","R","20°24´11.534"N","086°51´28.174"W","20.40320400","-86.85782600","0001","F16D71","2","*","*","1"
"230010141","23","Quintana Roo","Q. Roo","001","Cozumel","0141","Xel-Ha","R","20°19´10.774"N","087°21´24.575"W","20.31965900","-87.35682600","0004","F16C78","0","0","0","0"
"230010165","23","Quintana Roo","Q. Roo","001","Cozumel","0165","Buenavista","R","20°20´03.545"N","086°55´50.855"W","20.33431800","-86.93079300","0000","F16D71","0","0","0","0"
"230010232","23","Quintana Roo","Q. Roo","001","Cozumel","0232","Santa Rita","R","20°28´26.000"N","086°54´17.000"W","20.47388900","-86.90472200","0007","F16D71","15","9","6","4"
"230010265","23","Quintana Roo","Q. Roo","001","Cozumel","0265","Presidente Intercontinental","R","20°27´52.000"N","086°58´56.000"W","20.46444400","-86.98222200","0006","F16D71","3","*","*","1"
"230010270","23","Quintana Roo","Q. Roo","001","Cozumel","0270","Punta Chiqueros","R","20°20´43.919"N","086°54´01.367"W","20.34553300","-86.90038000","0000","F16D71","0","0","0","0"
